out_type,raw
wavePeriod,"wavePeriod SEA 2-3, W SWELL 8-9"
wind10M,"wind10M NE 16-20 VEERING E'LY 06-10 BY MID AFTERNOON, THEN S-SW 10-15 THIS EVENING"
wind50M,"wind50M NE 20-25 VEERING E'LY 07-12 BY MID AFTERNOON, THEN S-SW 12-18 THIS EVENING"
waveSigHeight,waveSigHeight 2.0-2.5 FALLING 1.5-2.0 BY MID AFTERNOON
waveMaxHeight,waveMaxHeight 3.0-4.0 FALLING 2.5-3.0 BY MID AFTERNOON
wavePeriod,wavePeriod SEA: 3-4 SWELL: NNW-N 8-9
wind10M,"wind10M S 30-35 SOON SW-W 35-45 GUSTS 60, EASING 20-25 BY EVENING, BACKING S LATER"
wind50M,"wind50M S 38-45 SOON SW-W 45-55 GUSTS 70, EASING 25-30 BY EVENING, BACKING S LATER"
waveSigHeight,waveSigHeight 5.5--6.5 FALLING 3.0-3.5 IN CONFUSED SEA/SWELL
waveMaxHeight,waveMaxHeight 9.0-10.5 FALLING 5.0-5.5 IN CONFUSED SEA/SWELL
wind10M,wind10M SE 12-18 RISING S'LY 35-40 BY AFTERNOON WITH GUSTS TO 55 THEN VEERING AND EASING W-SW 12-18
wind50M,wind50M SE 15-22 RISING S'LY 45-50 BY AFTERNOON WITH GUSTS TO 65 THEN VEERING AND EASING W-SW 15-22
waveSigHeight,waveSigHeight 3.5-4.0 SOON 3.0-3.5 FOR A TIME THEN RISING 5.0-6.0 BY AFTERNOON. LATER 4.0-5.0
waveMaxHeight,waveMaxHeight 5.5-6.5 SOON 5.0-5.5 FOR A TIME THEN RISING 8.0-9.5 BY AFTERNOON. LATER 6.5-8.0
windconf,windconf MODERATE DUE TO POSITION OF LOW
wind10M,wind10M SE 22-26 BACKING E'LY 36-40 GUSTS 48 BY MIDDAY THEN EASING SLOWLY ENE 20-24 BY LATE EVENING
wind50M,wind50M SE 28-32 BACKING E'LY 45-50 GUSTS 58 BY MIDDAY THEN EASING SLOWLY ENE 26-30 BY LATE EVENING
waveSigHeight,waveSigHeight AROUND 5.0 RISING 6.0-6.5 BY MIDDAY THEN FALLING 3.5-4.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight AROUND 8.0 RISING 10.0-10.5 BY MIDDAY THEN FALLING 5.5-6.5 BY LATE EVENING
wind10M,"wind10M WNW-W 16-20 BACKING SW LESS THAN 10 BY MIDDAY, BECOMING VARIABLE THIS AFTERNOON, THEN FRESHENING NW 12-18 LATER"
wind50M,"wind50M WNW-W 20-25 BACKING SW LESS THAN 12 BY MIDDAY, BECOMING VARIABLE THIS AFTERNOON, THEN FRESHENING NW 15-22 LATER"
waveSigHeight,waveSigHeight AROUND 3.5 FALLING NEAR 3.0 BY MIDDAY
waveMaxHeight,waveMaxHeight AROUND 5.5 FALLING NEAR 5.0 BY MIDDAY
wavePeriod,wavePeriod SEA: 4-5 FALLING 2-3 FOR A TIME SWELL: 9-10
wind10M,wind10M SE-SSE 06-10 GRADUALLY INCREASING 10-14 BY EVENING
wind50M,wind50M SE-SSE 10-14 GRADUALLY INCREASING 14-18 BY EVENING
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 10 LATER FALLING 06-08
wind10M,wind10M S-SE  8-12 GRADUALLY BACKING SE-E
wind50M,wind50M S-SE 10-15 GRADUALLY BACKING SE-E
waveSigHeight,waveSigHeight 0.5-1.0 RISING AROUND 1.0
waveMaxHeight,waveMaxHeight 1.0-1.5 RISING AROUND 1.5
wind10M,wind10M S'LY 06-10 SOON SW 02-06 THEN GRADUALLY VEERING NW 14-18 BY EVENING
wind50M,wind50M S'LY 10-14 SOON SW 04-08 THEN GRADUALLY VEERING NW 18-22 BY EVENING
waveSigHeight,waveSigHeight AROUND 1.5 FALLING 1.0-1.5 FOR A TIME
waveMaxHeight,waveMaxHeight AROUND 2.5 FALLING 1.5-2.5 FOR A TIME
wind10M,"wind10M S-SW 18-22 VEERING SW 26-30 BY MIDDAY, THEN WSW 14-18 BY EARLY EVENING, BACKING SSE 18-22 LATER"
wind50M,"wind50M S-SW 22-28 VEERING SW 32-38 BY MIDDAY, THEN WSW 17-22 BY EARLY EVENING, BACKING SSE 22-28 LATER"
waveSigHeight,"waveSigHeight 2.0-2.5 RISING NEAR 3.0 BY MIDDAY, FALLING 2.5-3.0 THIS AFTERNOON, RISING NEAR 3.0 AGAIN LATER"
waveMaxHeight,"waveMaxHeight 2.0-2.5 RISING NEAR 5.0 BY MIDDAY, FALLING 4.0-5.0 THIS AFTERNOON, RISING NEAR 5.0 AGAIN LATER"
wind10M,wind10M NNE-NE 08-12
wind50M,wind50M NNE-NE 12-15
waveSigHeight,waveSigHeight 1.0-1.5 RISING 1.5-2.0 BY EVENING
waveMaxHeight,waveMaxHeight 1.5-2.5 RISING 2.5-3.0 BY EVENING
wavePeriod,wavePeriod SEAS: 05-06 SWELL: 09-11
wind10M,wind10M W 10 OR LESS BECOMING VARIABLE THIS EVENING
wind50M,wind50M W 12 OR LESS BECOMING VARIABLE THIS EVENING
wavePeriod,"wavePeriod SEA 3, W SWELL 8-9"
wind10M,"wind10M NNW 15-20 INCREASING 30-34 GUSTS 45 BY EVENING, BACKING NW 28-32 LATER"
wind50M,"wind50M NNW 18-25 INCREASING 38-44 GUSTS 55 BY EVENING, BACKING NW 35-40 LATER"
waveSigHeight,waveSigHeight 2.0-2.5 RISING 4.0-5.0
waveMaxHeight,waveMaxHeight 3.0-4.0 RISING 6.5-8.0
wavePeriod,wavePeriod SEA: 4-5 RISING 6-8 SWELL: 8-9 RISING 9-11
wind10M,"wind10M S'LY 30-35 GUSTS 45 VEERING SSW 28-32 BY MIDDAY, THEN SW 34-38 GUSTS 48 BY EVENING, BACKING SSW 28-32 LATER"
wind50M,"wind50M S'LY 38-44 GUSTS 55 VEERING SSW 25-40 BY MIDDAY, THEN SW 44-48 GUSTS 58 BY EVENING, BACKING SSW 35-40 LATER"
waveSigHeight,"waveSigHeight AROUND 4.5 RISING 5.0-6.0 BY EVENING, FALLING 5.0-5.5 LATER"
waveMaxHeight,"waveMaxHeight AROUND 7.0 RISING 8.0-10.0 BY EVENING, FALLING 8.0-9.0 LATER"
wavePeriod,wavePeriod SEA: 6-8 SWELL: 9-11
wind10M,"wind10M SSE 20-25 BACKING SE-ESE 10-15 BY AFTERNOON, THEN N'LY LESS THAN 08 BY EVENING, AND WNW-W 10-14 BY MIDNIGHT"
wind50M,"wind50M SSE 25-32 BACKING SE-ESE 12-18 BY AFTERNOON, THEN N'LY LESS THAN 10 BY EVENING, AND WNW-W 12-18 BY MIDNIGHT"
waveSigHeight,waveSigHeight 2.0-2.5 GRADUALLY FALLING 1.0-1.5 BY MID EVENING
waveMaxHeight,waveMaxHeight 3.0-4.0 GRADUALLY FALLING 1.5-2.5 BY MID EVENING
wind10M,wind10M SSW-S 36-40 GUSTS 50 SLOWLY EASING 24-28 GUSTS 36 BY LATE EVENING
wind50M,wind50M SSW-S 45-50 GUSTS 60 SLOWLY EASING 30-35 GUSTS 45 BY LATE EVENING
waveSigHeight,waveSigHeight 6.0-7.0 FALLING 3.5-4.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight 10.0-11.0 FALLING 5.5-6.5 BY LATE EVENING
wind10M,wind10M S'LY 28-32 RISING LATER S-SE 40-45 WITH GUSTS TO 60
wind50M,wind50M S'LY 35-40 RISING LATER S-SE 50-55 WITH GUSTS TO 70
waveSigHeight,waveSigHeight 4.5-5.5 INCREASING TO 7.0-8.0
waveMaxHeight,waveMaxHeight 7.0-8.5 INCREASING TO 11.0-13.0
wavePeriod,wavePeriod 8-10 BECOMING 11-13
wind10M,"wind10M SSE-SE 25-30 INCREASING 28-32 BY MIDDAY, THEN VEERING/EASING S'LY 25-30 BY LATE EVENING"
wind50M,"wind50M SSE-SE 32-38 INCREASING 35-40 BY MIDDAY, THEN VEERING/EASING S'LY 32-38 BY LATE EVENING"
waveSigHeight,waveSigHeight 4.0-4.5 RISING 4.5-5.0 FOR A TIME THIS AFTERNOON
waveMaxHeight,waveMaxHeight 6.5-7.0 RISING 7.0-8.0 FOR A TIME THIS AFTERNOON
wind10M,"wind10M S-SW 10-15 EASING  8 OR LESS, GRADUALLY BACKING AND LATER INCREASING S-SE 10-15"
wind50M,"wind50M S-SW 12-18 EASING 10 OR LESS, GRADUALLY BACKING AND LATER INCREASING S-SE 12-18"
wind10M,wind10M N-NW 15-20 EASING SW 10 OR LESS BY AFTERNOON. BACKING LATER TO S-SE 10-15
wind50M,wind50M N-NW 20-25 EASING SW 12 OR LESS BY AFTERNOON. BACKING LATER TO S-SE 12-18
waveSigHeight,waveSigHeight AROUND 3.5 NNW SWELL STEADILY FALLING TO 2.0-2.5
waveMaxHeight,waveMaxHeight AROUND 5.5 NNW SWELL STEADILY FALLING TO 3.0-4.0
wavePeriod,"wavePeriod 4-6 WIND WAVE, 7-9 SWELL"
wind10M,"wind10M W-NW 15-18 SOON EASING W-SW  8 OR LESS, VEERING AND INCREASING NW-N 12-18 DURING THE EVENING"
wind50M,"wind50M W-NW 18-22 SOON EASING W-SW 10 OR LESS, VEERING AND INCREASING NW-N 15-22 DURING THE EVENING"
waveSigHeight,waveSigHeight 3.5-4.0 FALLING 2.5-3.0 MAINLY WNW SWELL
waveMaxHeight,waveMaxHeight 5.5-6.5 FALLING 4.0-5.0 MAINLY WNW SWELL
wind10M,"wind10M E 20-24 RISING 26-30 THIS AFTERNOON, VEERING SE THIS EVENING AND RISING 30-34"
wind50M,"wind50M E 25-30 RISING 33-38 THIS AFTERNOON, VEERING SE THIS EVENING AND RISING 38-43"
wind10M,"wind10M WSW 32-38 GUSTS 50 VEERING W'LY, DECREASING 26-30 THIS EVENING, VEERING WNW 18-22 LATER"
wind50M,"wind50M WSW 40-48 GUSTS 60 VEERING W'LY, DECREASING 32-38 THIS EVENING, VEERING WNW 22-28 LATER"
waveSigHeight,waveSigHeight 5.0-6.0 RISING 6.0-7.0 FOR A TIME
waveMaxHeight,waveMaxHeight 8.0-10.0 RISING 10.0-11.0 FOR A TIME
wavePeriod,wavePeriod 10-14
wind10M,wind10M SW-WSW 28-32 GUSTS 40 GRADUALLY VEERING W'LY 20-24 BY LATE EVENING
wind50M,wind50M SW-WSW 35-40 GUSTS 48 GRADUALLY VEERING W'LY 26-30 BY LATE EVENING
waveSigHeight,waveSigHeight 4.5-5.5 FALLING SLOWLY 3.5-4.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight 7.0-9.0 FALLING SLOWLY 5.5-6.5 BY LATE EVENING
wind10M,wind10M N 14-18 EASING 10 OR LESS BY EVENING AND BACKING NW LATER
wind50M,wind50M N 18-23 EASING 12 OR LESS BY EVENING AND BACKING NW LATER
waveSigHeight,waveSigHeight 2.0-2.5 SLOWLY FALLING 1.5
waveMaxHeight,waveMaxHeight 3.0-4.0 SLOWLY FALLING 2.5
wavePeriod,"wavePeriod SEA 4-5 FALLING 3, SWELL 8-9"
wind10M,wind10M NNE 10-14 INCREASING 24-28 GUSTS 36 BY MID AFTERNOON
wind50M,wind50M NNE 14-18 INCREASING 30-35 GUSTS 45 BY MID AFTERNOON
waveSigHeight,waveSigHeight 1.0-1.5 RISING 2.5-3.0 BY LATE AFTERNOON
waveMaxHeight,waveMaxHeight 1.5-2.5 RISING 4.0-5.0 BY LATE AFTERNOON
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 07-09
wind10M,wind10M S-SW 28-32 WITH GUSTS TO 42 STEADILY FALLING TO 12-18
wind50M,wind50M S-SW 35-40 WITH GUSTS TO 50 STEADILY FALLING TO 15-22
waveSigHeight,waveSigHeight 4.0-5.0 DECREASING TO 2.5-3.0 BY END OF PERIOD
waveMaxHeight,waveMaxHeight 6.5-8.0 DECREASING TO 4.0-5.0 BY END OF PERIOD
wavePeriod,"wavePeriod 7-8 WIND WAVE BECOMING 5-7, 8-11 SWELL"
wind10M,wind10M SW 14-18 SOON 18-22 THEN GRADUALLY VEERING WSW EASING 14-18 BY EVENING
wind50M,wind50M SW 18-22 SOON 22-28 THEN GRADUALLY VEERING WSW EASING 18-22 BY EVENING
waveSigHeight,waveSigHeight 1.0-1.5 RISING AROUND 2.0 BY MIDDAY THEN FALLING 1.5-2.0 BY EVENING
waveMaxHeight,waveMaxHeight 1.5-2.5 RISING AROUND 3.0 BY MIDDAY THEN FALLING 2.5-3.0 BY EVENING
wind10M,wind10M W'LY 08-12 GRADUALLY BACKING SSW
wind50M,wind50M W'LY 10-15 GRADUALLY BACKING SSW
waveSigHeight,waveSigHeight AROUND 1.5 FALLING NEAR 1.0 BY EVENING
waveMaxHeight,waveMaxHeight AROUND 2.5 FALLING NEAR 1.5 BY EVENING
wavePeriod,wavePeriod SEA: 2-4 SWELL: 6-7
wind10M,"wind10M S'LY 26-32 BACKING SSE 30-35 BY AFTERNOON, INCREASING 35-40 GUSTS 50 BY MID EVENING"
wind50M,"wind50M S'LY 32-40 BACKING SSE 38-44 BY AFTERNOON, INCREASING 45-50 GUSTS 60 BY MID EVENING"
waveSigHeight,waveSigHeight AROUND 3.0 STEADILY RISING 6.0-7.0 BY END OF PERIOD
waveMaxHeight,waveMaxHeight AROUND 5.0 STEADILY RISING 10.0-11.0 BY END OF PERIOD
wavePeriod,wavePeriod 6-7 RISING 8-11
wind10M,wind10M S-SE 40-45 WITH GUSTS TO 60 VEERING AROUND MIDDAY TO S-SW 22-28 THEN EASING W'LY 15-20 BY END OF PERIOD
wind50M,wind50M S-SE 50-55 WITH GUSTS TO 70 VEERING AROUND MIDDAY TO S-SW 28-35 THEN EASING W'LY 20-25 BY END OF PERIOD
waveSigHeight,waveSigHeight 7.0-8.0 DECREASING TO 4.5-5.5
waveMaxHeight,waveMaxHeight 11.0-13.0 DECREASING TO 7.0-8.5
wind10M,wind10M S-SE 20-25 EASING 10-15 LATER
wind50M,wind50M S-SE 25-30 EASING 12-18 LATER
waveSigHeight,waveSigHeight 3.5-4.0 RISING 4.0-4.5 FOR A TIME
waveMaxHeight,waveMaxHeight 5.5-6.5 RISING 6.5-7.5 FOR A TIME
wind10M,wind10M S-SW 16-22 GRADUALLY EASING AND VEERING SW-W  8 OR LESS
wind50M,wind50M S-SW 20-28 GRADUALLY EASING AND VEERING SW-W 10 OR LESS
wind10M,wind10M W-SW 10-15 BACKING SW 15-20 LATER
wind50M,wind50M W-SW 12-18 BACKING SW 20-25 LATER
waveSigHeight,waveSigHeight AROUND 2.0 RISING 2.0-2.5 LATER
waveMaxHeight,waveMaxHeight AROUND 3.0 RISING 3.0-4.0 LATER
wind10M,wind10M WSW 16-20 GRADUALLY BACKING SSW 22-26 BY LATE EVENING
wind50M,wind50M WSW 20-26 GRADUALLY BACKING SSW 28-32 BY LATE EVENING
waveSigHeight,waveSigHeight 3.0-3.5 FALLING 2.5-3.0 FOR A TIME
waveMaxHeight,waveMaxHeight 5.0-5.5 FALLING 4.0-5.0 FOR A TIME
wind10M,wind10M N-NNW 10-15 EASING VARIABLE  8 OR LESS
wind50M,wind50M N-NNW 12-18 EASING VARIABLE 10 OR LESS
waveSigHeight,waveSigHeight 2.5-3.0 FALLING AROUND 2.5 NW SWELL
waveMaxHeight,waveMaxHeight 4.0-5.0 FALLING AROUND 4.0 NW SWELL
wind10M,"wind10M S-SW 12-18 INCREASING 18-22 GUSTS 35, EASING SW-W 15-18 LATER"
wind50M,"wind50M S-SW 15-22 INCREASING 22-28 GUSTS 45, EASING SW-W 18-22 LATER"
wind10M,wind10M NW 18-22 GUSTS 30 INCREASING 26-30 GUSTS 40 BY LATE AFTERNOON
wind50M,wind50M NW 22-28 GUSTS 36 INCREASING 32-38 GUSTS 48 BY LATE AFTERNOON
waveSigHeight,waveSigHeight 5.0-6.0
waveMaxHeight,waveMaxHeight 8.0-10.0
wind10M,wind10M S'LY 34-38 GUSTS 46 GRADUALLY VEERING SSW-SW EASING 14-18 BY LATE EVENING
wind50M,wind50M S'LY 43-48 GUSTS 56 GRADUALLY VEERING SSW-SW EASING 18-22 BY LATE EVENING
waveSigHeight,waveSigHeight 5.0-5.5 FALLING SLOWLY 3.0-3.5 BY LATE EVENING
waveMaxHeight,waveMaxHeight 8.0-9.0 FALLING SLOWLY 5.0-5.5 BY LATE EVENING
wind10M,wind10M W'LY 16-20 DECREASING 06-10 BY LATE EVENING
wind50M,wind50M W'LY 20-26 DECREASING 10-14 BY LATE EVENING
wind10M,wind10M NW 10 OR LESS BACKING S THIS AFTERNOON THEN RISING 12-16 LATER IN THE EVENING
wind50M,wind50M NW 12 OR LESS BACKING S THIS AFTERNOON THEN RISING 15-20 LATER IN THE EVENING
wavePeriod,"wavePeriod SEA 3-4, SWELL 6-7"
wind10M,wind10M N'LY 20-24 GUSTS 32 GRADUALLY BACKING W-SW 06-10 BY LATE EVENING
wind50M,wind50M N'LY 26-30 GUSTS 38 GRADUALLY BACKING W-SW 10-14 BY LATE EVENING
waveSigHeight,waveSigHeight 2.5-3.0 FALLING SLOWLY TO AROUND 1.5
waveMaxHeight,waveMaxHeight 4.0-5.0 FALLING SLOWLY TO AROUND 2.5
wavePeriod,wavePeriod SEAS:  05-06. SWELL: 08
wind10M,wind10M SW 15-20 VEERING W-SW 22-28 GUSTS 38 FOR A TIME. LATER SW 18-22
wind50M,wind50M SW 20-25 VEERING W-SW 28-35 GUSTS 45 FOR A TIME. LATER SW 22-28
waveSigHeight,waveSigHeight 2.5-3.0 BECOMING 3.0-3.5 WITH WNW SWELL
waveMaxHeight,waveMaxHeight 4.0-5.0 BECOMING 5.0-5.5 WITH WNW SWELL
wavePeriod,"wavePeriod 5-7 WIND WAVE, 8-10 SWELL"
wind10M,wind10M WSW-SW 14-18 INCREASING 22-26 GUSTS 34 BY LATE AFTERNOON
wind50M,wind50M WSW-SW 18-22 INCREASING 28-32 GUSTS 40 BY LATE AFTERNOON
waveSigHeight,waveSigHeight 1.5-2.0 RISING AROUND 2.5 BY LATE EVENING
waveMaxHeight,waveMaxHeight 2.5-3.0 RISING AROUND 4.0 BY LATE EVENING
wind10M,wind10M SW 08-12 BACKING S-SE 02-06 BY LATE AFTERNOON
wind50M,wind50M SW 12-15 BACKING S-SE 04-08 BY LATE AFTERNOON
wavePeriod,wavePeriod SEAS: 02-04. SWELL: 07
wind10M,"wind10M SSW 28-34 GUSTS 44 BACKING S'LY 25-30 BY MID AFTERNOON, THEN INCREASING 32-36 GUSTS 46 BY MIDNIGHT"
wind50M,"wind50M SSW 35-43 GUSTS 55 BACKING S'LY 32-38 BY MID AFTERNOON, THEN INCREASING 40-45 GUSTS 55 BY MIDNIGHT"
waveSigHeight,waveSigHeight 5.0-6.0 FALLING AROUND 4.0 FOR A TIME THIS AFTERNOON
waveMaxHeight,waveMaxHeight 8.0-9.5 FALLING AROUND 6.5 FOR A TIME THIS AFTERNOON
wavePeriod,wavePeriod 8-12
wind10M,wind10M W'LY 10-15 EASING NW 10 OR LESS THEN VARIABLE BY EVENING. LATER SE
wind50M,wind50M W'LY 12-18 EASING NW 12 OR LESS THEN VARIABLE BY EVENING. LATER SE
waveSigHeight,waveSigHeight 3.5-4.5 WITH SWELL BECOMING 3.0-3.5
waveMaxHeight,waveMaxHeight 5.5-7.0 WITH SWELL BECOMING 5.0-5.5
wind10M,"wind10M SE 20-25 OCCASIONALLY 25-30, EASING 15-20 LATER"
wind50M,"wind50M SE 25-30 OCCASIONALLY 30-38, EASING 18-25 LATER"
waveMaxHeight,waveMaxHeight 6.5-8.0 FALLING 4.0-5.0
wind10M,wind10M SW 12-16 SOON VEERING W-NW  8 OR LESS GRADUALLY GRADUALLY VEERING NW-N
wind50M,wind50M SW 15-20 SOON VEERING W-NW 10 OR LESS GRADUALLY GRADUALLY VEERING NW-N
waveSigHeight,waveSigHeight 1.5-2.0 FALLING AROUND 1.0
waveMaxHeight,waveMaxHeight 2.5-3.0 FALLING AROUND 1.5
wind10M,wind10M S-SSW'LY 34-38 GUSTS 46 VEERING SW-WSW 30-34 GUSTS 45 LATE EVENING
wind50M,wind50M S-SSW'LY 43-48 GUSTS 56 VEERING SW-WSW 38-43 GUSTS 55 LATE EVENING
waveSigHeight,"waveSigHeight 4.5-5.5 RISING 6.5-7.5 FOR A TIME,LATER 5.0-6.0"
waveMaxHeight,"waveMaxHeight 7.0-9.0 RISING 10.5-12.0 FOR A TIME,LATER 8.0-10.0"
wind10M,wind10M WNW 04-08 BACKING WSW-SW'LY BY MIDDAY
wind50M,wind50M WNW 08-12 BACKING WSW-SW'LY BY MIDDAY
waveSigHeight,waveSigHeight AROUND 2.5 FALLING 1.5-2.0 BY EVENING
waveMaxHeight,waveMaxHeight AROUND 4.0 FALLING 2.5-3.0 BY EVENING
wind10M,"wind10M S-SW 15-18 GUSTS 28 IN SHOWERS, EASING S  8-12 BY EVENING"
wind50M,"wind50M S-SW 18-22 GUSTS 35 IN SHOWERS, EASING S 10-15 BY EVENING"
waveMaxHeight,waveMaxHeight AROUND 4.0
wind10M,wind10M NW 26-30 GUSTS 38 BACKING SW 08-12 BY MID AFTERNOON THEN SSE-SE 14-18 BY LATE AFTERNOON/EARLY EVENING AND NE-NNE 18-22 BY LATE EVENING
wind50M,wind50M NW 32-38 GUSTS 46 BACKING SW 12-15 BY MID AFTERNOON THEN SSE-SE 18-22 BY LATE AFTERNOON/EARLY EVENING AND NE-NNE 22-28 BY LATE EVENING
waveSigHeight,waveSigHeight 5.0-6.0 FALLING 4.0-5.0 IN THE AFTERNOON
waveMaxHeight,waveMaxHeight 8.0-10.0 FALLING 6.5-8.0 IN THE AFTERNOON
wind10M,wind10M SSW 16-20 GRADUALLY BACKING SSE THEN FALLING VARIABLE 04-08 BY LATE EVENING
wind50M,wind50M SSW 20-26 GRADUALLY BACKING SSE THEN FALLING VARIABLE 08-12 BY LATE EVENING
waveSigHeight,waveSigHeight AROUND 3.0 FALLING 2.0-2.5 BY MID AFTERNOON LATER MAINLY AROUND 2.5
waveMaxHeight,waveMaxHeight AROUND 5.0 FALLING 3.0-4.0 BY MID AFTERNOON LATER MAINLY AROUND 4.0
wind10M,wind10M S-SE 12-18 SOON INCREASING 20-25
wind50M,wind50M S-SE 15-22 SOON INCREASING 25-30
waveSigHeight,waveSigHeight 2.0-2.5 RISING 2.5-3.0
waveMaxHeight,waveMaxHeight 3.0-4.0 RISING 4.0-5.0
wind10M,wind10M S 14-18 RISING 18-22 BY LATE MORNING THEN VEERING SSW THIS EVENING AND EASING 8-12 LATER
wind50M,wind50M S 18-23 RISING 23-28 BY LATE MORNING THEN VEERING SSW THIS EVENING AND EASING 10-15 LATER
waveSigHeight,waveSigHeight 1.0-1.5 RISING 1.5-2.0 THIS AFTERNOON
waveMaxHeight,waveMaxHeight 1.5-2.5 RISING 2.5-3.0 THIS AFTERNOON
wavePeriod,"wavePeriod SEA 4-5, NNE SWELL 8 AT FIRST, W SWELL 11 LATER"
wind10M,wind10M SSW 16-20 SOON SW-WSW 14-18 EASING WSW-W 12-16 BY EVENING
wind50M,wind50M SSW 20-26 SOON SW-WSW 18-22 EASING WSW-W 15-20 BY EVENING
wind10M,wind10M NW 14-18 VEERING NE 08-12 BY MID AFTERNOON THEN INCREASING NE 14-18 BY LATE EVENING
wind50M,wind50M NW 18-22 VEERING NE 12-15 BY MID AFTERNOON THEN INCREASING NE 18-22 BY LATE EVENING
waveSigHeight,waveSigHeight 2.5-3.0 FALLING 2.0-2.5 BY LATE AFTERNOON
waveMaxHeight,waveMaxHeight 4.0-5.0 FALLING 3.0-4.0 BY LATE AFTERNOON
wind10M,wind10M W'LY 18-22 VEERING W-NW BY AFTERNOON
wind50M,wind50M W'LY 22-28 VEERING W-NW BY AFTERNOON
waveSigHeight,waveSigHeight AROUND 2.5 EASING 2.0-2.5 FOR A TIME. LATER 2.5-3.0
waveMaxHeight,waveMaxHeight AROUND 4.0 EASING 3.0-4.0 FOR A TIME. LATER 4.0-5.0
wind10M,wind10M VARIABLE 02-06 SETTING W'LY 06-10 IN THE EVENING RISK GUSTS TO 25 IN ANY THUNDERSTORM
wind50M,wind50M VARIABLE 04-08 SETTING W'LY 10-14 IN THE EVENING RISK GUSTS TO 30 IN ANY THUNDERSTORM
waveSigHeight,waveSigHeight 0.5-1.0 LATER RISING TO AROUND 1.0
waveMaxHeight,waveMaxHeight 1.0-1.5 LATER RISING TO AROUND 1.5
wind10M,wind10M W-SW 8-12 STEADILY BACKING AND RISING S'LY 20-25
wind50M,wind50M W-SW 10-15 STEADILY BACKING AND RISING S'LY 25-32
waveSigHeight,waveSigHeight 2.0-2.5 BECOMING 1.5-2.0 FOR A TIME THIS EVENING
waveMaxHeight,waveMaxHeight 3.0-4.0 BECOMING 2.5-3.0 FOR A TIME THIS EVENING
wind10M,wind10M NE-N  8 OR LESS INCREASING 10-15 LATER
wind50M,wind50M NE-N 10 OR LESS INCREASING 12-18 LATER
wind10M,wind10M SW 18-22 SLOWLY EASING 10-14 BY LATE EVENING
wind50M,wind50M SW 22-28 SLOWLY EASING 14-18 BY LATE EVENING
waveSigHeight,waveSigHeight 2.5-3.0 FALLING 2.0-2.5 BY MID AFTERNOON
waveMaxHeight,waveMaxHeight 4.0-5.0 FALLING 3.0-4.0 BY MID AFTERNOON
wind10M,wind10M W'LY 22-26 GUSTS 36 BACKING SW 06-10 BY LATE AFTERNOON THEN S'LY 10-14 BEFORE BACKING SSE-SE 16-20 LATE EVENING
wind50M,wind50M W'LY 28-32 GUSTS 40 BACKING SW 10-14 BY LATE AFTERNOON THEN S'LY 14-18 BEFORE BACKING SSE-SE 20-26 LATE EVENING
wind10M,wind10M SW 06-10 VEERING WSW 02-06 BY LATE AFTERNOON
wind50M,wind50M SW 10-14 VEERING WSW 04-08 BY LATE AFTERNOON
waveSigHeight,waveSigHeight AROUND 1.5 FALLING 1.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight AROUND 2.5 FALLING 1.5 BY LATE EVENING
wind10M,wind10M SSE 10-14 BACKING ESE-E 06-10 BY MIDDAY THEN BACKING NE 20-24 BY LATE EVENING
wind50M,wind50M SSE 14-18 BACKING ESE-E 10-14 BY MIDDAY THEN BACKING NE 26-30 BY LATE EVENING
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 07-08
wind10M,wind10M NNW 16-20 INCREASING 22-26 GUSTS 34 BY MIDDAY THEN BACKING W-SW 10-14 EARLY EVENING AND SSW 16-20 LATER
wind50M,wind50M NNW 20-26 INCREASING 28-32 GUSTS 40 BY MIDDAY THEN BACKING W-SW 14-18 EARLY EVENING AND SSW 20-26 LATER
waveSigHeight,waveSigHeight 3.5-4.0 FALLING TO AROUND 3.0 BY EVENING
waveMaxHeight,waveMaxHeight 5.5-6.5 FALLING TO AROUND 5.0 BY EVENING
wind10M,wind10M N-NW 12-18 GUSTS 28 BACKING/EASING SSW LESS THAN 08 BY END OF PERIOD
wind50M,wind50M N-NW 15-22 GUSTS 32 BACKING/EASING SSW LESS THAN 10 BY END OF PERIOD
waveSigHeight,waveSigHeight 2.5-3.0 GRADUALLY FALLING 1.5-2.0 BY END OF PERIOD
waveMaxHeight,waveMaxHeight 4.0-5.0 GRADUALLY FALLING 2.5-3.0 BY END OF PERIOD
wavePeriod,wavePeriod MAINLY 6-8 W-NW SWELL
wind10M,"wind10M SSW 5-10 BACKING SSE 10-14 THIS MORNING, VEERING WNW 14-18 EARLY EVENING THEN BACKING W 10-14 LATER"
wind50M,"wind50M SSW 6-12 BACKING SSE 12-18 THIS MORNING, VEERING WNW 18-23 EARLY EVENING THEN BACKING W 12-18 LATER"
waveSigHeight,waveSigHeight 1.0-1.5 RISING 1.5-2.0 THIS EVENING
waveMaxHeight,waveMaxHeight 1.5-2.5 RISING 2.5-3.0 THIS EVENING
wavePeriod,"wavePeriod SEA 3-5, W'LY SWELL 9-11"
